YKJ;Kunta;Ruutu;Tyydyttävän pvs-raja;Suurruutu;Suurruutu-koord;YKJ-N;YKJ-E;Priorisoitu;url
755:348;Sodankylä;Salmurinvaara;72;22;755:345-759:349;755;348;kyllä;https://tulokset.lintuatlas.fi/grid/755:348
755:349;Sodankylä;Särästölehto;90;22;755:345-759:349;755;349;kyllä;https://tulokset.lintuatlas.fi/grid/755:349
756:345;Kittilä;Naatsukka-Aapa;90;22;755:345-759:349;756;345;kyllä;https://tulokset.lintuatlas.fi/grid/756:345
756:346;Sodankylä;Suskonmaa;90;22;755:345-759:349;756;346;ei;https://tulokset.lintuatlas.fi/grid/756:346
756:347;Sodankylä;Tossarivaara;90;22;755:345-759:349;756;347;kyllä;https://tulokset.lintuatlas.fi/grid/756:347
756:348;Sodankylä;Vaulonaapa;90;22;755:345-759:349;756;348;valmis;https://tulokset.lintuatlas.fi/grid/756:348
756:349;Sodankylä;Mäkärärova;90;22;755:345-759:349;756;349;valmis;https://tulokset.lintuatlas.fi/grid/756:349
757:345;Kittilä;Näätäselkä;90;22;755:345-759:349;757;345;kyllä;https://tulokset.lintuatlas.fi/grid/757:345
757:346;Sodankylä;Sarviselkä;90;22;755:345-759:349;757;346;ei;https://tulokset.lintuatlas.fi/grid/757:346
757:347;Sodankylä;Tämäkkäaapa;90;22;755:345-759:349;757;347;kyllä;https://tulokset.lintuatlas.fi/grid/757:347
757:348;Sodankylä;Vaulonkankaat;90;22;755:345-759:349;757;348;ei;https://tulokset.lintuatlas.fi/grid/757:348
757:349;Sodankylä;Tunkaharju;90;22;755:345-759:349;757;349;kyllä;https://tulokset.lintuatlas.fi/grid/757:349
758:345;Inari;Ivalon Matti;90;22;755:345-759:349;758;345;kyllä;https://tulokset.lintuatlas.fi/grid/758:345
758:346;Inari;Sormusaapa;90;22;755:345-759:349;758;346;ei;https://tulokset.lintuatlas.fi/grid/758:346
758:347;Inari;Rulla-aapa;90;22;755:345-759:349;758;347;ei;https://tulokset.lintuatlas.fi/grid/758:347
758:348;Inari;Vaulo;90;22;755:345-759:349;758;348;kyllä;https://tulokset.lintuatlas.fi/grid/758:348
758:349;Inari;Vuijeminselkä;90;22;755:345-759:349;758;349;kyllä;https://tulokset.lintuatlas.fi/grid/758:349
759:345;Inari;Fattijänkä;90;22;755:345-759:349;759;345;kyllä;https://tulokset.lintuatlas.fi/grid/759:345
759:346;Inari;Litmuorvaara;90;22;755:345-759:349;759;346;valmis;https://tulokset.lintuatlas.fi/grid/759:346
759:347;Inari;Kuttura;90;22;755:345-759:349;759;347;kyllä;https://tulokset.lintuatlas.fi/grid/759:347
759:348;Inari;Kuusikko-Patatunturi;90;22;755:345-759:349;759;348;valmis;https://tulokset.lintuatlas.fi/grid/759:348
759:349;Inari;Ristiinamorosto;90;22;755:345-759:349;759;349;valmis;https://tulokset.lintuatlas.fi/grid/759:349
755:350;Sodankylä;Vuotso;90;23;755:350-759:354;755;350;valmis;https://tulokset.lintuatlas.fi/grid/755:350
755:351;Sodankylä;Sompiojärvi;90;23;755:350-759:354;755;351;valmis;https://tulokset.lintuatlas.fi/grid/755:351
755:352;Sodankylä;Vaaranaapa;90;23;755:350-759:354;755;352;kyllä;https://tulokset.lintuatlas.fi/grid/755:352
755:353;Sodankylä;Tinkiaapa;90;23;755:350-759:354;755;353;ei;https://tulokset.lintuatlas.fi/grid/755:353
755:354;Sodankylä;Kopsuslampi;90;23;755:350-759:354;755;354;ei;https://tulokset.lintuatlas.fi/grid/755:354
756:350;Sodankylä;Tankavaara;90;23;755:350-759:354;756;350;valmis;https://tulokset.lintuatlas.fi/grid/756:350
756:351;Sodankylä;Nattastunturit;90;23;755:350-759:354;756;351;valmis;https://tulokset.lintuatlas.fi/grid/756:351
756:352;Sodankylä;Suku-Nattanen;90;23;755:350-759:354;756;352;ei;https://tulokset.lintuatlas.fi/grid/756:352
756:353;Sodankylä;Lipatanaapa;90;23;755:350-759:354;756;353;ei;https://tulokset.lintuatlas.fi/grid/756:353
756:354;Sodankylä;Kaitmitpää;90;23;755:350-759:354;756;354;ei;https://tulokset.lintuatlas.fi/grid/756:354
757:350;Sodankylä;Purnunmukka;90;23;755:350-759:354;757;350;kyllä;https://tulokset.lintuatlas.fi/grid/757:350
757:351;Sodankylä;Peselmäaapa;90;23;755:350-759:354;757;351;kyllä;https://tulokset.lintuatlas.fi/grid/757:351
757:352;Sodankylä;Kopsusjärvi;90;23;755:350-759:354;757;352;kyllä;https://tulokset.lintuatlas.fi/grid/757:352
757:353;Sodankylä;Tuiskukuru;90;23;755:350-759:354;757;353;ei;https://tulokset.lintuatlas.fi/grid/757:353
757:354;Sodankylä;Sokosti;90;23;755:350-759:354;757;354;kyllä;https://tulokset.lintuatlas.fi/grid/757:354
758:350;Inari;Härkäselkä;90;23;755:350-759:354;758;350;kyllä;https://tulokset.lintuatlas.fi/grid/758:350
758:351;Sodankylä;Kakslautanen;90;23;755:350-759:354;758;351;valmis;https://tulokset.lintuatlas.fi/grid/758:351
758:352;Sodankylä;Kiilopää;90;23;755:350-759:354;758;352;kyllä;https://tulokset.lintuatlas.fi/grid/758:352
758:353;Sodankylä;Puilakkapää;90;23;755:350-759:354;758;353;kyllä;https://tulokset.lintuatlas.fi/grid/758:353
758:354;Sodankylä;Kaarnepää;90;23;755:350-759:354;758;354;kyllä;https://tulokset.lintuatlas.fi/grid/758:354
759:350;Inari;Harrijänkä;90;23;755:350-759:354;759;350;kyllä;https://tulokset.lintuatlas.fi/grid/759:350
759:351;Inari;Kaunispää;90;23;755:350-759:354;759;351;valmis;https://tulokset.lintuatlas.fi/grid/759:351
759:352;Inari;Kivipää;90;23;755:350-759:354;759;352;kyllä;https://tulokset.lintuatlas.fi/grid/759:352
759:353;Inari;Luppovaara;90;23;755:350-759:354;759;353;kyllä;https://tulokset.lintuatlas.fi/grid/759:353
759:354;Inari;Riukuselkä;90;23;755:350-759:354;759;354;kyllä;https://tulokset.lintuatlas.fi/grid/759:354
755:355;Sodankylä;Repoaapa;90;24;755:355-759:359;755;355;ei;https://tulokset.lintuatlas.fi/grid/755:355
755:356;Savukoski;Peskiseljät;90;24;755:355-759:359;755;356;kyllä;https://tulokset.lintuatlas.fi/grid/755:356
755:357;Savukoski;Härkämurusta;90;24;755:355-759:359;755;357;valmis;https://tulokset.lintuatlas.fi/grid/755:357
755:358;Savukoski;Mantoselkä;90;24;755:355-759:359;755;358;kyllä;https://tulokset.lintuatlas.fi/grid/755:358
755:359;Savukoski;Korvatunturi;90;24;755:355-759:359;755;359;kyllä;https://tulokset.lintuatlas.fi/grid/755:359
755:360;Savukoski;Rautalankamurustan rinne;72;24;755:355-759:359;755;360;ei;https://tulokset.lintuatlas.fi/grid/755:360
756:355;Sodankylä;Vuomapää;90;24;755:355-759:359;756;355;ei;https://tulokset.lintuatlas.fi/grid/756:355
756:356;Sodankylä;Vongoiva;90;24;755:355-759:359;756;356;kyllä;https://tulokset.lintuatlas.fi/grid/756:356
756:357;Savukoski;Pieni-Kokkopää;90;24;755:355-759:359;756;357;kyllä;https://tulokset.lintuatlas.fi/grid/756:357
756:358;Savukoski;Iso-Kokkopää;72;24;755:355-759:359;756;358;ei;https://tulokset.lintuatlas.fi/grid/756:358
757:355;Sodankylä;Kuikkapää;90;24;755:355-759:359;757;355;kyllä;https://tulokset.lintuatlas.fi/grid/757:355
757:356;Sodankylä;Purnupää;90;24;755:355-759:359;757;356;kyllä;https://tulokset.lintuatlas.fi/grid/757:356
758:355;Sodankylä;Ylempi Kiertämäjärvi;90;24;755:355-759:359;758;355;kyllä;https://tulokset.lintuatlas.fi/grid/758:355
758:356;Sodankylä;Vuongelitunturi;72;24;755:355-759:359;758;356;kyllä;https://tulokset.lintuatlas.fi/grid/758:356
759:355;Sodankylä;Alempi Kiertämäjärvi;90;24;755:355-759:359;759;355;kyllä;https://tulokset.lintuatlas.fi/grid/759:355
759:356;Sodankylä;Oksajängänvaara;72;24;755:355-759:359;759;356;kyllä;https://tulokset.lintuatlas.fi/grid/759:356
760:329;Enontekiö;Luspa;72;25;760:325-764:329;760;329;ei;https://tulokset.lintuatlas.fi/grid/760:329
761:329;Enontekiö;Kelottijärvi;72;25;760:325-764:329;761;329;valmis;https://tulokset.lintuatlas.fi/grid/761:329
762:328;Enontekiö;Pättikkä;90;25;760:325-764:329;762;328;valmis;https://tulokset.lintuatlas.fi/grid/762:328
762:329;Enontekiö;Sarvisoivi;90;25;760:325-764:329;762;329;ei;https://tulokset.lintuatlas.fi/grid/762:329
763:327;Enontekiö;Iitto;72;25;760:325-764:329;763;327;valmis;https://tulokset.lintuatlas.fi/grid/763:327
763:328;Enontekiö;Ropinsalmi;90;25;760:325-764:329;763;328;valmis;https://tulokset.lintuatlas.fi/grid/763:328
763:329;Enontekiö;Darju;90;25;760:325-764:329;763;329;kyllä;https://tulokset.lintuatlas.fi/grid/763:329
764:326;Enontekiö;Kivijärvi;72;25;760:325-764:329;764;326;valmis;https://tulokset.lintuatlas.fi/grid/764:326
764:327;Enontekiö;Lámmasoaivi;90;25;760:325-764:329;764;327;valmis;https://tulokset.lintuatlas.fi/grid/764:327
764:328;Enontekiö;Ropi;90;25;760:325-764:329;764;328;kyllä;https://tulokset.lintuatlas.fi/grid/764:328
764:329;Enontekiö;Pitsijärvi;90;25;760:325-764:329;764;329;kyllä;https://tulokset.lintuatlas.fi/grid/764:329
760:330;Enontekiö;Markkina;72;26;760:330-764:334;760;330;valmis;https://tulokset.lintuatlas.fi/grid/760:330
760:331;Enontekiö;Kaaresuvanto;90;26;760:330-764:334;760;331;valmis;https://tulokset.lintuatlas.fi/grid/760:331
760:332;Enontekiö;Jatuni;90;26;760:330-764:334;760;332;kyllä;https://tulokset.lintuatlas.fi/grid/760:332
760:333;Enontekiö;Kultima;90;26;760:330-764:334;760;333;valmis;https://tulokset.lintuatlas.fi/grid/760:333
760:334;Enontekiö;Leppäjärvi;90;26;760:330-764:334;760;334;valmis;https://tulokset.lintuatlas.fi/grid/760:334
761:330;Enontekiö;Koihkalanvaara;90;26;760:330-764:334;761;330;kyllä;https://tulokset.lintuatlas.fi/grid/761:330
761:331;Enontekiö;Hietavuoma;90;26;760:330-764:334;761;331;kyllä;https://tulokset.lintuatlas.fi/grid/761:331
761:332;Enontekiö;Tarvantovaara;90;26;760:330-764:334;761;332;kyllä;https://tulokset.lintuatlas.fi/grid/761:332
761:333;Enontekiö;Raiskavuoma;90;26;760:330-764:334;761;333;kyllä;https://tulokset.lintuatlas.fi/grid/761:333
761:334;Enontekiö;Tuolpavuoma;90;26;760:330-764:334;761;334;kyllä;https://tulokset.lintuatlas.fi/grid/761:334
762:330;Enontekiö;Ruossakero;90;26;760:330-764:334;762;330;ei;https://tulokset.lintuatlas.fi/grid/762:330
762:331;Enontekiö;Puusasvuoma;90;26;760:330-764:334;762;331;kyllä;https://tulokset.lintuatlas.fi/grid/762:331
762:332;Enontekiö;Hietakero;90;26;760:330-764:334;762;332;kyllä;https://tulokset.lintuatlas.fi/grid/762:332
762:333;Enontekiö;Salvasjärvi;90;26;760:330-764:334;762;333;valmis;https://tulokset.lintuatlas.fi/grid/762:333
762:334;Enontekiö;Rajaskaiti;72;26;760:330-764:334;762;334;ei;https://tulokset.lintuatlas.fi/grid/762:334
763:330;Enontekiö;Kalkkoaivi;90;26;760:330-764:334;763;330;kyllä;https://tulokset.lintuatlas.fi/grid/763:330
763:331;Enontekiö;Puusasvaara;90;26;760:330-764:334;763;331;ei;https://tulokset.lintuatlas.fi/grid/763:331
763:332;Enontekiö;Vauhtivaara;72;26;760:330-764:334;763;332;ei;https://tulokset.lintuatlas.fi/grid/763:332
764:330;Enontekiö;Nierivuoma;90;26;760:330-764:334;764;330;kyllä;https://tulokset.lintuatlas.fi/grid/764:330
764:331;Enontekiö;Nierivaara;72;26;760:330-764:334;764;331;ei;https://tulokset.lintuatlas.fi/grid/764:331
760:335;Enontekiö;Lijankijärvi;90;27;760:335-764:339;760;335;kyllä;https://tulokset.lintuatlas.fi/grid/760:335
760:336;Enontekiö;Laihtavaara;90;27;760:335-764:339;760;336;ei;https://tulokset.lintuatlas.fi/grid/760:336
760:337;Enontekiö;Vuostojärvi;90;27;760:335-764:339;760;337;kyllä;https://tulokset.lintuatlas.fi/grid/760:337
760:338;Enontekiö;Kuorttusvaara;90;27;760:335-764:339;760;338;kyllä;https://tulokset.lintuatlas.fi/grid/760:338
760:339;Enontekiö;Kuoskisenvuoma;90;27;760:335-764:339;760;339;ei;https://tulokset.lintuatlas.fi/grid/760:339
761:335;Enontekiö;Näkkälävaara;90;27;760:335-764:339;761;335;kyllä;https://tulokset.lintuatlas.fi/grid/761:335
761:336;Enontekiö;Näkkälä;90;27;760:335-764:339;761;336;valmis;https://tulokset.lintuatlas.fi/grid/761:336
761:337;Enontekiö;Vuomavaara;90;27;760:335-764:339;761;337;ei;https://tulokset.lintuatlas.fi/grid/761:337
761:338;Enontekiö;Suinavaara;90;27;760:335-764:339;761;338;kyllä;https://tulokset.lintuatlas.fi/grid/761:338
761:339;Enontekiö;Suukisvaara;90;27;760:335-764:339;761;339;ei;https://tulokset.lintuatlas.fi/grid/761:339
762:335;Enontekiö;Kivilompolo;90;27;760:335-764:339;762;335;kyllä;https://tulokset.lintuatlas.fi/grid/762:335
762:336;Enontekiö;Termisvaara;90;27;760:335-764:339;762;336;valmis;https://tulokset.lintuatlas.fi/grid/762:336
762:337;Enontekiö;Rossinjärvi;90;27;760:335-764:339;762;337;valmis;https://tulokset.lintuatlas.fi/grid/762:337
762:338;Enontekiö;Valkamapää;90;27;760:335-764:339;762;338;kyllä;https://tulokset.lintuatlas.fi/grid/762:338
762:339;Enontekiö;Retkajärvi;90;27;760:335-764:339;762;339;kyllä;https://tulokset.lintuatlas.fi/grid/762:339
763:336;Enontekiö;Bajašmuotki;72;27;760:335-764:339;763;336;kyllä;https://tulokset.lintuatlas.fi/grid/763:336
763:337;Enontekiö;Sáhpánoaivi;90;27;760:335-764:339;763;337;valmis;https://tulokset.lintuatlas.fi/grid/763:337
763:338;Enontekiö;Kalkuvaara;72;27;760:335-764:339;763;338;kyllä;https://tulokset.lintuatlas.fi/grid/763:338
764:336;Enontekiö;Roavvoaivi;72;27;760:335-764:339;764;336;ei;https://tulokset.lintuatlas.fi/grid/764:336
764:337;Enontekiö;Máčeroaivi;72;27;760:335-764:339;764;337;kyllä;https://tulokset.lintuatlas.fi/grid/764:337
760:340;Enontekiö;Kalmakaltio;90;28;760:340-764:344;760;340;kyllä;https://tulokset.lintuatlas.fi/grid/760:340
760:341;Enontekiö;Avisuoratunturi;90;28;760:340-764:344;760;341;kyllä;https://tulokset.lintuatlas.fi/grid/760:341
760:342;Inari;Repovaara;90;28;760:340-764:344;760;342;kyllä;https://tulokset.lintuatlas.fi/grid/760:342
760:343;Inari;Väärtijänkkä;90;28;760:340-764:344;760;343;ei;https://tulokset.lintuatlas.fi/grid/760:343
760:344;Inari;Lemmikäsjänkä;90;28;760:340-764:344;760;344;ei;https://tulokset.lintuatlas.fi/grid/760:344
761:340;Enontekiö;Nalttijärvi;90;28;760:340-764:344;761;340;kyllä;https://tulokset.lintuatlas.fi/grid/761:340
761:341;Inari;Isokivenvaara;72;28;760:340-764:344;761;341;kyllä;https://tulokset.lintuatlas.fi/grid/761:341
761:342;Inari;Reposelkä;90;28;760:340-764:344;761;342;kyllä;https://tulokset.lintuatlas.fi/grid/761:342
761:343;Inari;Hopiapalo;90;28;760:340-764:344;761;343;kyllä;https://tulokset.lintuatlas.fi/grid/761:343
761:344;Inari;Naukusjänkä;90;28;760:340-764:344;761;344;valmis;https://tulokset.lintuatlas.fi/grid/761:344
762:340;Enontekiö;Rautuoivi;72;28;760:340-764:344;762;340;kyllä;https://tulokset.lintuatlas.fi/grid/762:340
762:342;Inari;Laurivaarat;90;28;760:340-764:344;762;342;ei;https://tulokset.lintuatlas.fi/grid/762:342
762:343;Inari;Vaskojärvi;90;28;760:340-764:344;762;343;kyllä;https://tulokset.lintuatlas.fi/grid/762:343
762:344;Inari;Jäkäläpää;90;28;760:340-764:344;762;344;kyllä;https://tulokset.lintuatlas.fi/grid/762:344
763:342;Inari;Stuorrabogeoaivi;72;28;760:340-764:344;763;342;ei;https://tulokset.lintuatlas.fi/grid/763:342
763:343;Inari;Vuolimušalaš;90;28;760:340-764:344;763;343;kyllä;https://tulokset.lintuatlas.fi/grid/763:343
763:344;Inari;Látnoaivi;90;28;760:340-764:344;763;344;kyllä;https://tulokset.lintuatlas.fi/grid/763:344
764:342;Inari;Guovžuroaivi;72;28;760:340-764:344;764;342;ei;https://tulokset.lintuatlas.fi/grid/764:342
764:343;Inari;Lauravaara;72;28;760:340-764:344;764;343;kyllä;https://tulokset.lintuatlas.fi/grid/764:343
764:344;Inari;Angeli;90;28;760:340-764:344;764;344;kyllä;https://tulokset.lintuatlas.fi/grid/764:344
760:345;Inari;Jänispäät;90;29;760:345-764:349;760;345;ei;https://tulokset.lintuatlas.fi/grid/760:345
760:346;Inari;Iso Karvaselkä;90;29;760:345-764:349;760;346;kyllä;https://tulokset.lintuatlas.fi/grid/760:346
760:347;Inari;Kollumit;90;29;760:345-764:349;760;347;ei;https://tulokset.lintuatlas.fi/grid/760:347
760:348;Inari;Pietarlauttanen;90;29;760:345-764:349;760;348;valmis;https://tulokset.lintuatlas.fi/grid/760:348
760:349;Inari;Vaskistunturi;90;29;760:345-764:349;760;349;kyllä;https://tulokset.lintuatlas.fi/grid/760:349
761:345;Inari;Morgam-Viipus;90;29;760:345-764:349;761;345;valmis;https://tulokset.lintuatlas.fi/grid/761:345
761:346;Inari;Urroaivi;90;29;760:345-764:349;761;346;valmis;https://tulokset.lintuatlas.fi/grid/761:346
761:347;Inari;Kynsileikkaamapäät;90;29;760:345-764:349;761;347;ei;https://tulokset.lintuatlas.fi/grid/761:347
761:348;Inari;Appistunturi;90;29;760:345-764:349;761;348;ei;https://tulokset.lintuatlas.fi/grid/761:348
761:349;Inari;Hammastunturi;90;29;760:345-764:349;761;349;kyllä;https://tulokset.lintuatlas.fi/grid/761:349
762:345;Inari;Morgammaras;90;29;760:345-764:349;762;345;valmis;https://tulokset.lintuatlas.fi/grid/762:345
762:346;Inari;Joenkielinen;90;29;760:345-764:349;762;346;valmis;https://tulokset.lintuatlas.fi/grid/762:346
762:347;Inari;Iso Ahvenjäärvi;90;29;760:345-764:349;762;347;valmis;https://tulokset.lintuatlas.fi/grid/762:347
762:348;Inari;Irrajärvi;90;29;760:345-764:349;762;348;valmis;https://tulokset.lintuatlas.fi/grid/762:348
762:349;Inari;Hammasjärvi;90;29;760:345-764:349;762;349;ei;https://tulokset.lintuatlas.fi/grid/762:349
763:345;Inari;Maarestatunturi;90;29;760:345-764:349;763;345;ei;https://tulokset.lintuatlas.fi/grid/763:345
763:346;Inari;Njurkulahti;90;29;760:345-764:349;763;346;valmis;https://tulokset.lintuatlas.fi/grid/763:346
763:347;Inari;Äivihjärvi;90;29;760:345-764:349;763;347;kyllä;https://tulokset.lintuatlas.fi/grid/763:347
763:348;Inari;Isonpaanteenvaara;90;29;760:345-764:349;763;348;valmis;https://tulokset.lintuatlas.fi/grid/763:348
763:349;Inari;Kaksamajärvi;90;29;760:345-764:349;763;349;valmis;https://tulokset.lintuatlas.fi/grid/763:349
764:345;Inari;Pyhäjärvenkaita;90;29;760:345-764:349;764;345;kyllä;https://tulokset.lintuatlas.fi/grid/764:345
764:346;Inari;Korkia-Vasko;90;29;760:345-764:349;764;346;kyllä;https://tulokset.lintuatlas.fi/grid/764:346
764:347;Inari;Etusolmivaara;90;29;760:345-764:349;764;347;kyllä;https://tulokset.lintuatlas.fi/grid/764:347
764:348;Inari;Paatari;90;29;760:345-764:349;764;348;valmis;https://tulokset.lintuatlas.fi/grid/764:348
764:349;Inari;Otsamo;90;29;760:345-764:349;764;349;valmis;https://tulokset.lintuatlas.fi/grid/764:349
760:350;Inari;Tolospää;90;30;760:350-764:354;760;350;valmis;https://tulokset.lintuatlas.fi/grid/760:350
760:351;Inari;Auskottivaara;90;30;760:350-764:354;760;351;kyllä;https://tulokset.lintuatlas.fi/grid/760:351
760:352;Inari;Palkisoja;90;30;760:350-764:354;760;352;valmis;https://tulokset.lintuatlas.fi/grid/760:352
760:353;Inari;Vuolaselkä;90;30;760:350-764:354;760;353;ei;https://tulokset.lintuatlas.fi/grid/760:353
760:354;Inari;Kattajärvi;90;30;760:350-764:354;760;354;ei;https://tulokset.lintuatlas.fi/grid/760:354
761:350;Inari;Paalupää;90;30;760:350-764:354;761;350;kyllä;https://tulokset.lintuatlas.fi/grid/761:350
761:351;Inari;Ivalon lentoasema;90;30;760:350-764:354;761;351;valmis;https://tulokset.lintuatlas.fi/grid/761:351
761:352;Inari;Ivalo;90;30;760:350-764:354;761;352;valmis;https://tulokset.lintuatlas.fi/grid/761:352
761:353;Inari;Kurupää;90;30;760:350-764:354;761;353;valmis;https://tulokset.lintuatlas.fi/grid/761:353
761:354;Inari;Uusipää;90;30;760:350-764:354;761;354;kyllä;https://tulokset.lintuatlas.fi/grid/761:354
762:350;Inari;Kirakkajärvi;90;30;760:350-764:354;762;350;kyllä;https://tulokset.lintuatlas.fi/grid/762:350
762:351;Inari;Kenkipää;90;30;760:350-764:354;762;351;valmis;https://tulokset.lintuatlas.fi/grid/762:351
762:352;Inari;Akujärvi;90;30;760:350-764:354;762;352;valmis;https://tulokset.lintuatlas.fi/grid/762:352
762:353;Inari;Siskeli;90;30;760:350-764:354;762;353;valmis;https://tulokset.lintuatlas.fi/grid/762:353
762:354;Inari;Kuohana;90;30;760:350-764:354;762;354;ei;https://tulokset.lintuatlas.fi/grid/762:354
763:350;Inari;Jänkäjärvi;90;30;760:350-764:354;763;350;ei;https://tulokset.lintuatlas.fi/grid/763:350
763:351;Inari;Vaadinselkä;90;30;760:350-764:354;763;351;valmis;https://tulokset.lintuatlas.fi/grid/763:351
763:352;Inari;Veskoniemi;90;30;760:350-764:354;763;352;valmis;https://tulokset.lintuatlas.fi/grid/763:352
763:353;Inari;Nanguvuono;90;30;760:350-764:354;763;353;valmis;https://tulokset.lintuatlas.fi/grid/763:353
763:354;Inari;Sarmijärvi;90;30;760:350-764:354;763;354;kyllä;https://tulokset.lintuatlas.fi/grid/763:354
764:350;Inari;Inarin kk;90;30;760:350-764:354;764;350;valmis;https://tulokset.lintuatlas.fi/grid/764:350
764:351;Inari;Kankivuono;72;30;760:350-764:354;764;351;valmis;https://tulokset.lintuatlas.fi/grid/764:351
764:352;Inari;Jäkäläselkä;72;30;760:350-764:354;764;352;valmis;https://tulokset.lintuatlas.fi/grid/764:352
764:353;Inari;Sarminiemi;72;30;760:350-764:354;764;353;ei;https://tulokset.lintuatlas.fi/grid/764:353
764:354;Inari;Satapetäjäselkä;72;30;760:350-764:354;764;354;ei;https://tulokset.lintuatlas.fi/grid/764:354
760:355;Inari;Suorsapää;90;31;760:355-764:359;760;355;kyllä;https://tulokset.lintuatlas.fi/grid/760:355
760:356;Inari;Kaunisjärvi;72;31;760:355-764:359;760;356;ei;https://tulokset.lintuatlas.fi/grid/760:356
761:355;Inari;Maikkumapää;90;31;760:355-764:359;761;355;kyllä;https://tulokset.lintuatlas.fi/grid/761:355
761:356;Inari;Kippisjärvi;72;31;760:355-764:359;761;356;kyllä;https://tulokset.lintuatlas.fi/grid/761:356
762:355;Inari;Sarmitunturi;90;31;760:355-764:359;762;355;kyllä;https://tulokset.lintuatlas.fi/grid/762:355
762:356;Inari;Kontosjärvi;90;31;760:355-764:359;762;356;kyllä;https://tulokset.lintuatlas.fi/grid/762:356
763:355;Inari;Juoksemavaara;90;31;760:355-764:359;763;355;kyllä;https://tulokset.lintuatlas.fi/grid/763:355
763:356;Inari;Sulkusjärvi;90;31;760:355-764:359;763;356;kyllä;https://tulokset.lintuatlas.fi/grid/763:356
763:357;Inari;Syysvasajärvi;72;31;760:355-764:359;763;357;ei;https://tulokset.lintuatlas.fi/grid/763:357
764:355;Inari;Nellim;90;31;760:355-764:359;764;355;valmis;https://tulokset.lintuatlas.fi/grid/764:355
764:356;Inari;Siikavaarat;72;31;760:355-764:359;764;356;ei;https://tulokset.lintuatlas.fi/grid/764:356
764:357;Inari;Palokotajärvet;72;31;760:355-764:359;764;357;kyllä;https://tulokset.lintuatlas.fi/grid/764:357
767:324;Enontekiö;Iso-Malla;72;32;765:320-769:324;767;324;valmis;https://tulokset.lintuatlas.fi/grid/767:324
768:324;Enontekiö;Goallarrássa;72;32;765:320-769:324;768;324;kyllä;https://tulokset.lintuatlas.fi/grid/768:324
765:325;Enontekiö;Jorpavaara;72;33;765:325-769:329;765;325;kyllä;https://tulokset.lintuatlas.fi/grid/765:325
765:326;Enontekiö;Peerajärvi;90;33;765:325-769:329;765;326;valmis;https://tulokset.lintuatlas.fi/grid/765:326
765:327;Enontekiö;Suppijärvi;90;33;765:325-769:329;765;327;valmis;https://tulokset.lintuatlas.fi/grid/765:327
765:328;Enontekiö;Njammatjárvi;90;33;765:325-769:329;765;328;valmis;https://tulokset.lintuatlas.fi/grid/765:328
765:329;Enontekiö;Čáibma;90;33;765:325-769:329;765;329;kyllä;https://tulokset.lintuatlas.fi/grid/765:329
766:325;Enontekiö;Ala-Kilpisjärvi;72;33;765:325-769:329;766;325;valmis;https://tulokset.lintuatlas.fi/grid/766:325
766:326;Enontekiö;Ailakkajärvi;90;33;765:325-769:329;766;326;valmis;https://tulokset.lintuatlas.fi/grid/766:326
766:327;Enontekiö;Unkkavaara;90;33;765:325-769:329;766;327;kyllä;https://tulokset.lintuatlas.fi/grid/766:327
766:328;Enontekiö;Buoiddesoaivi;90;33;765:325-769:329;766;328;kyllä;https://tulokset.lintuatlas.fi/grid/766:328
766:329;Enontekiö;Čukčoaivi;90;33;765:325-769:329;766;329;kyllä;https://tulokset.lintuatlas.fi/grid/766:329
767:325;Enontekiö;Kilpisjärvi;90;33;765:325-769:329;767;325;valmis;https://tulokset.lintuatlas.fi/grid/767:325
767:326;Enontekiö;Salmivaarat;90;33;765:325-769:329;767;326;kyllä;https://tulokset.lintuatlas.fi/grid/767:326
767:327;Enontekiö;Jollánoaivi;90;33;765:325-769:329;767;327;kyllä;https://tulokset.lintuatlas.fi/grid/767:327
767:328;Enontekiö;Hárroaivi;90;33;765:325-769:329;767;328;ei;https://tulokset.lintuatlas.fi/grid/767:328
767:329;Enontekiö;Karravaara;90;33;765:325-769:329;767;329;ei;https://tulokset.lintuatlas.fi/grid/767:329
768:325;Enontekiö;Pikku-Jehkas;72;33;765:325-769:329;768;325;kyllä;https://tulokset.lintuatlas.fi/grid/768:325
768:326;Enontekiö;Goddejássavri;90;33;765:325-769:329;768;326;ei;https://tulokset.lintuatlas.fi/grid/768:326
768:327;Enontekiö;Meekonvaara;90;33;765:325-769:329;768;327;kyllä;https://tulokset.lintuatlas.fi/grid/768:327
768:328;Enontekiö;Porojärvi;90;33;765:325-769:329;768;328;ei;https://tulokset.lintuatlas.fi/grid/768:328
768:329;Enontekiö;Taapmajärvi;72;33;765:325-769:329;768;329;ei;https://tulokset.lintuatlas.fi/grid/768:329
769:326;Enontekiö;Lossujärvi;72;33;765:325-769:329;769;326;kyllä;https://tulokset.lintuatlas.fi/grid/769:326
769:327;Enontekiö;Pitsusjärvi;90;33;765:325-769:329;769;327;kyllä;https://tulokset.lintuatlas.fi/grid/769:327
769:328;Enontekiö;Somasjärvi;90;33;765:325-769:329;769;328;kyllä;https://tulokset.lintuatlas.fi/grid/769:328
769:329;Enontekiö;Várddoaivi;72;33;765:325-769:329;769;329;ei;https://tulokset.lintuatlas.fi/grid/769:329
